"Property Name",,"ru-RU","Node Path"
"Value","WCF client is not opened","Клиент WCF не открыт","Localization\WcfTransport\ClientIsNotOpened"
"Value","WCF client is opened succesfully.","Клиент WCF успешно подключен.","Localization\WcfTransport\ClientOpened"
"Value","Downloading error for file {0}: {1}","Ошибка получения файла {0}: {1}","Localization\WcfTransport\DownloadError"
"Value","Downloaded OK","Получение файлов успешно завершено","Localization\WcfTransport\DownloadOk"
"Value","File listing error: {1}","Ошибка получения списка файлов: {1}","Localization\WcfTransport\FileListingError"
"Value","File listing OK","Список файлов получен","Localization\WcfTransport\FileListingOk"
"Value","Uploading error for file {0}: {1}","Ошибка отправки файла {0}: {1}","Localization\WcfTransport\UploadError"
"Value","Uploaded OK","Отправка файлов успешна завершена","Localization\WcfTransport\UploadOk"
